Regime,Name,Days,% of Sample,Ann. Return,Ann. Vol,Sharpe,Avg Corr
0,Crisis,1215,35.1%,-65.26%,26.17%,-2.49,0.93
1,Low-vol Rally,2244,64.9%,51.97%,10.32%,5.04,0.89
