region,ann_ret_basket,ann_ret_strategy,ann_vol_basket,ann_vol_strategy,sharpe_basket,sharpe_strategy,calmar_basket,calmar_strategy,final_cum_basket,final_cum_strategy
america,0.10293024885131064,0.06316392455946818,0.23468546442348232,0.1652365620837919,0.535498112967242,0.45385615875046015,0.30632301089592107,0.23605395317013758,147.80382280813097,127.66864737160581
europe,0.04039685387181602,0.08564111167993893,0.2018880939404445,0.09001308471402641,0.29780865553872526,0.9578341593082144,0.11028240203071922,0.9982234069657134,117.51488318492254,139.77701336474934
asia,0.01001396819817213,0.07366551668346921,0.1767548753400989,0.08324664259836381,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,104.19379499324751,134.0520307040644
