,R0,R1,R2,R3,R4,R5
R0,0.9384872562291311,0.0016468914329384717,0.015938484944950416,0.0032935467533791118,0.013253990663776104,0.02737982997582489
R1,0.0,0.99081302296046,0.0,0.0,0.009186977039539945,0.0
R2,0.03213577283065894,0.0,0.9573104839611749,0.009106312055005103,0.0014474311531609916,5.500325245622394e-154
R3,0.004770390785682402,0.0,0.014764353623664158,0.9804652555906536,1.0278373085926149e-184,1.2516575989093593e-157
R4,0.023411569616019864,0.0,0.023996870174989336,6.246507889996342e-162,0.9496885326219929,0.0029030275869979844
R5,0.01624900518591818,0.0,0.01001791631270441,7.613737845318264e-145,0.014622457543388988,0.9591106209579883
