Regime,Name,Days,% of Sample,Ann. Return,Ann. Vol,Sharpe,Avg Corr
0,Crisis,421,12.2%,-55.35%,18.86%,-2.94,0.92
1,Stressed,448,13.0%,-21.03%,12.43%,-1.69,0.92
2,Crisis,561,16.2%,-34.97%,25.00%,-1.40,0.93
3,Low-vol Rally,532,15.4%,17.46%,9.19%,1.90,0.80
4,Low-vol Rally,528,15.3%,28.64%,7.09%,4.04,0.92
5,High-vol Rally,608,17.6%,68.60%,16.44%,4.17,0.94
6,High-vol Rally,361,10.4%,65.28%,28.02%,2.33,0.93
