,R0,R1,R2,R3,R4,R5,R6
R0,0.8948070880455197,2.795132121212925e-160,0.020506873137454966,0.0,5.885987665721508e-129,3.1732890240585805e-110,0.08468603881702534
R1,0.043161914525921115,0.9062113291361745,0.0,1.0291699334080227e-195,0.005395681340556116,0.0,0.045231074997348214
R2,3.9994913733674926e-32,0.0,0.9291940145810583,0.0,0.0,0.06264078349168999,0.008165201927251653
R3,0.009703153648512226,0.007156203303102024,0.0,0.9831406430483858,0.0,0.0,0.0
R4,8.981846268355814e-54,0.07455552469247813,0.0,0.01110818707623491,0.9143362882312869,1.5289441142249547e-181,6.288609922895636e-111
R5,0.01897967883263077,0.0026709949789303173,0.019480496407428875,0.0,0.011367693005865476,0.9475011367751446,3.008784123544412e-113
R6,0.028718474427548494,0.012534362559979615,0.013527237063547987,1.4562338000524043e-258,0.11092394452963987,0.010344496943981069,0.8239514844753031
