,R0,R1,R2,R3,R4,R5,R6
R0,0.9151940241864815,8.626779400212907e-249,0.0031581756407995415,2.8293423219027e-27,0.010670499439604492,0.008780975923429133,0.06219632480968523
R1,7.082404501910306e-76,0.9544823194934824,0.036175566722890094,4.204498792902483e-105,0.002218670066280023,9.63213300659581e-137,0.007123443717347488
R2,2.571139719363242e-06,0.024822774200879468,0.9319623367196151,0.00672771283076565,0.0023010176135332136,0.011283824407596224,0.02289976308789097
R3,0.03422193601195943,0.016180132844866045,0.013616641230903562,0.9262122509718184,2.2245885751780552e-36,0.00976903894045255,3.9168056500662566e-142
R4,6.273699373503762e-36,0.007966843541327834,1.6745385772740316e-186,0.018861782686078608,0.9705193069025276,0.002652066870065899,1.3496579790936253e-74
R5,0.021946808446379928,0.0034118446119132556,0.027274882385115808,0.01283118662409297,0.003296390572488869,0.931238887360009,2.8472165726009615e-172
R6,0.029991113120915285,7.195693515268742e-285,1.9977743758786517e-28,0.03918858919959883,0.016878481173624137,0.02996697269974506,0.8839748438061167
