Date,regime_skmeans,weight_skmeans
2019-09-16,0,0.0
2019-09-30,0,0.0
2019-10-14,0,0.0
2019-10-28,0,0.0
2019-11-11,0,0.0
2019-11-25,0,0.0
2019-12-09,0,0.0
2019-12-23,0,0.0
2020-01-02,0,0.0
2020-01-16,0,0.0
2020-01-30,0,0.0
2020-02-13,0,0.0
2020-02-27,0,0.0
2020-03-12,1,1.0
2020-03-26,1,1.0
2020-04-09,1,1.0
2020-04-27,1,1.0
2020-05-11,1,1.0
2020-05-25,1,1.0
2020-06-08,1,1.0
2020-06-22,1,1.0
2020-07-06,1,1.0
2020-07-20,1,1.0
2020-08-03,1,1.0
2020-08-17,1,1.0
2020-08-31,0,0.0
2020-09-14,0,0.0
2020-09-28,1,1.0
2020-10-12,0,0.0
2020-10-26,0,0.0
2020-11-09,1,1.0
2020-11-23,1,1.0
2020-12-07,1,1.0
2020-12-21,1,1.0
2021-01-06,1,1.0
2021-01-20,0,0.0
2021-02-03,0,0.0
2021-02-17,0,0.0
2021-03-03,0,0.0
2021-03-17,0,0.0
2021-03-31,0,0.0
2021-04-16,0,0.0
2021-04-30,0,0.0
2021-05-14,0,0.0
2021-05-28,0,0.0
2021-06-11,0,0.0
2021-06-25,0,0.0
2021-07-09,0,0.0
2021-07-23,0,0.0
2021-08-06,0,0.0
2021-08-20,0,0.0
2021-09-03,0,0.0
2021-09-17,0,0.0
2021-10-01,0,0.0
2021-10-15,0,0.0
2021-10-29,0,0.0
2021-11-12,0,0.0
2021-11-26,0,0.0
2021-12-10,0,0.0
2021-12-24,0,0.0
2022-01-07,0,0.0
2022-01-21,0,0.0
2022-02-04,0,0.0
2022-02-18,0,0.0
2022-03-04,1,1.0
2022-03-18,1,1.0
2022-04-01,1,1.0
2022-04-19,1,1.0
2022-05-03,1,1.0
2022-05-17,1,1.0
2022-05-31,0,0.0
2022-06-14,1,1.0
2022-06-28,1,1.0
2022-07-12,1,1.0
2022-07-26,1,1.0
2022-08-09,1,1.0
2022-08-23,0,0.0
2022-09-06,0,0.0
2022-09-20,0,0.0
2022-10-04,0,0.0
2022-10-18,0,0.0
2022-11-01,0,0.0
2022-11-15,0,0.0
2022-11-29,0,0.0
2022-12-13,0,0.0
2022-12-28,0,0.0
2023-01-11,0,0.0
2023-01-25,0,0.0
2023-02-08,0,0.0
2023-02-22,0,0.0
2023-03-08,0,0.0
2023-03-22,0,0.0
2023-04-05,0,0.0
2023-04-21,0,0.0
2023-05-08,0,0.0
2023-05-22,0,0.0
2023-06-05,0,0.0
2023-06-19,0,0.0
2023-07-03,0,0.0
2023-07-17,0,0.0
2023-07-31,0,0.0
2023-08-14,0,0.0
2023-08-28,0,0.0
2023-09-11,0,0.0
2023-09-25,0,0.0
2023-10-09,0,0.0
2023-10-23,0,0.0
2023-11-06,0,0.0
2023-11-20,0,0.0
2023-12-04,0,0.0
2023-12-18,0,0.0
