Date,basket_ret,weight,weight_lag1,strategy_ret,cum_basket,cum_strategy,sharpe_basket,sharpe_strategy,calmar_basket,calmar_strategy,ann_vol_basket,ann_vol_strategy,ann_ret_basket,ann_ret_strategy
2020-01-03,-0.0008769192041177357,0.0,0.5,-0.00043845960205886786,99.91230807958823,99.95615403979411,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-06,-0.012281164728716062,0.0,0.0,-0.0,98.68526856563658,99.95615403979411,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-07,0.009625700606409104,0.0,0.0,0.0,99.63518341511246,99.95615403979411,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-08,-0.011713134348445639,0.0,0.0,-0.0,98.46814312593924,99.95615403979411,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-09,0.01874578065786821,0.5,0.0,0.0,100.31400533876567,99.95615403979411,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-10,0.005495276597758059,0.5,0.5,0.0027476382988790293,100.86525854473116,100.23079739684249,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-13,0.007141820893785826,0.5,0.5,0.003570910446892913,101.58562015566304,100.58871259836728,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-14,0.00307507929785363,0.5,0.5,0.001537539648926815,101.89800399316333,100.74337173222176,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-15,-0.003970072493523953,0.5,0.5,-0.0019850362467619767,101.49346153036507,100.5433924877123,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-16,0.004049068749315765,0.5,0.5,0.0020245343746578826,101.90441553370755,100.74694604194838,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-17,0.0038805999811018697,0.5,0.5,0.0019402999905509348,102.29986580670185,100.94242534040161,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-20,-0.0006150832009261439,0.5,0.5,-0.00030754160046307194,102.23694287778716,100.9113813453578,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-21,-0.01579446237777493,0.5,0.5,-0.007897231188887466,100.62216532988522,100.11446083728353,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-22,0.010668279281385548,0.5,0.5,0.005334139640692774,101.69563069152217,100.64848535144226,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-23,-0.011457385342654502,0.5,0.5,-0.005728692671327251,100.53046466302511,100.07190111102926,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-24,0.0009285957617817994,0.5,0.5,0.0004642978808908997,100.62381682644114,100.11836428265184,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-27,-0.006766361332149029,0.0,0.5,-0.0033831806660745145,99.94295972317347,99.77964576829177,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-28,-0.012125569272096884,0.0,0.0,-0.0,98.73109444179174,99.77964576829177,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-29,-0.005748779429664193,0.0,0.0,-0.0,98.16351115699653,99.77964576829177,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-30,-0.02014509548320779,0.0,0.0,-0.0,96.18599785177192,99.77964576829177,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-01-31,-0.0029197662741810757,0.0,0.0,-0.0,95.90515721919586,99.77964576829177,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
2020-02-03,-0.002809045391407028,0.0,0.0,-0.0,95.63575527929711,99.77964576829177,0.1445407784701188,0.8954216753400469,0.03172328472345321,0.7599342804445912,0.1767548753400989,0.08324664259836381,0.01001396819817213,0.07366551668346921
