region,model,final_capital_basket,final_capital_strategy,ann_return_basket,ann_return_strategy,ann_vol_basket,ann_vol_strategy,sharpe_basket,sharpe_strategy,n_obs
america,PCA_KMeans,147.80382280813097,116.60266324325272,0.10293024885131064,0.039266432006723306,0.23468546442348232,0.09670207437472804,0.535498112967242,0.44676836048787993,1005
america,SWKMeans,83.82069564486295,79.77812272720308,-0.359018969127887,-0.43409020904828177,0.2916894855375398,0.26207515158176936,-1.3732939279154928,-2.0335391613129747,100
europe,PCA_KMeans,117.51488318492254,144.03979076282013,0.04039685387181602,0.09367332502526993,0.2018880939404445,0.12494002687358055,0.29780865553872526,0.7785626968444875,1027
europe,SWKMeans,95.54720393511055,112.5386380759381,-0.10643370224060611,0.33889113338059174,0.27791026518686773,0.10069496113118237,-0.262206326290999,2.949439806626164,102
asia,PCA_KMeans,104.19379499324751,135.28523452767715,0.01001396819817213,0.07605282124162827,0.1767548753400989,0.11744254459969126,0.1445407784701188,0.6824533510995217,1039
asia,SWKMeans,87.0965585740571,95.90174984868322,-0.28680823761118757,-0.09731389660423495,0.17138862580475764,0.13652152147775562,-1.8856741310380425,-0.6819082488127413,103
